ano,trimestre,regiao,instituicao,cod_capitulo,desc_capitulo,taxa_internamento,dias_internamento,taxa_mortalidade,year,month,year_month,tempo,localizacao_geografica,mortalidade_avc_hemorragico_30_dias,mortalidade_avc_isquemico_30_dias
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Tâmega e Sousa, E.P.E.",16.0,Algumas condições originadas no período perinatal,0.62,285.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.",9.0,Doenças do aparelho circulatório,10.8,3958.0,7.26,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.",10.0,Doenças do aparelho respiratório,5.75,2474.0,19.55,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.",13.0,Doenças do aparelho osteomuscular e do tecido conjuntivo,3.19,1260.0,0.82,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Santo António, E.P.E.",5.0,"Transtornos mentais, comportamentais e de neurodesenvolvimento",4.88,7583.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Santo António, E.P.E.",21.0,Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde,11.04,4125.0,1.47,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de São João, E.P.E.",3.0,Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,0.56,637.0,3.33,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de São João, E.P.E.",5.0,"Transtornos mentais, comportamentais e de neurodesenvolvimento",1.05,2662.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Centro,"Unidade Local de Saúde do Baixo Mondego, E.P.E.",19.0,"Lesões, envenenamento e algumas outras consequências de causas externas",12.37,1615.0,3.73,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Norte,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.",1.0,Algumas doenças infecciosas e parasitárias,0.7,303.0,25.0,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Norte,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.",10.0,Doenças do aparelho respiratório,2.67,739.0,39.34,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Norte,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.",11.0,Doenças do aparelho digestivo,2.71,954.0,4.84,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Norte,"Instituto Português Oncologia  F. Gentil - Porto, E.P.E.",12.0,Doenças da pele e do tecido subcutâneo,0.35,88.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Norte,"Unidade Local de Saúde da Póvoa de Varzim / Vila do Conde, E.P.E.",4.0,"Doenças endócrinas, nutricionais e metabólicas",1.21,141.0,10.53,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Norte,"Unidade Local de Saúde da Póvoa de Varzim / Vila do Conde, E.P.E.",12.0,Doenças da pele e do tecido subcutâneo,0.58,146.0,33.33,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Norte,"Unidade Local de Saúde da Póvoa de Varzim / Vila do Conde, E.P.E.",18.0,"Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte",1.41,136.0,4.55,2020.0,1.0,2020-01,,,,
2020-01-01,Segundo,Região de Saúde do Norte,"Unidade Local de Saúde da Póvoa de Varzim / Vila do Conde, E.P.E.",21.0,Fatores que influenciam o estado de saúde e o contacto com os serviços de saúde,19.87,946.0,0.32,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Leiria, E.P.E.",13.0,Doenças do aparelho osteomuscular e do tecido conjuntivo,3.46,1123.0,1.16,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde da Região de Leiria, E.P.E.",14.0,Doenças do aparelho geniturinário,9.73,3785.0,6.57,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.",1.0,Algumas doenças infecciosas e parasitárias,1.7,376.0,25.0,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.",4.0,"Doenças endócrinas, nutricionais e metabólicas",1.94,411.0,3.13,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.",5.0,"Transtornos mentais, comportamentais e de neurodesenvolvimento",3.16,624.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.",11.0,Doenças do aparelho digestivo,16.32,1631.0,4.83,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.",12.0,Doenças da pele e do tecido subcutâneo,1.15,237.0,5.26,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.",15.0,"Gravidez, parto e puerpério",6.01,367.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.",16.0,Algumas condições originadas no período perinatal,0.3,46.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Terceiro,Região de Saúde do Centro,"Unidade Local de Saúde de Coimbra, E.P.E.",5.0,"Transtornos mentais, comportamentais e de neurodesenvolvimento",1.95,5677.0,0.44,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Tâmega e Sousa, E.P.E.",19.0,"Lesões, envenenamento e algumas outras consequências de causas externas",9.27,5527.0,2.29,2020.0,1.0,2020-01,,,,
2020-01-01,Primeiro,Região de Saúde do Norte,"Unidade Local de Saúde do Tâmega e Sousa, E.P.E.",22.0,Códigos para fins especiais,0.27,63.0,40.0,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,Hospital de Cascais Dr. José de Almeida,4.0,"Doenças endócrinas, nutricionais e metabólicas",1.01,285.0,14.81,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,Hospital de Cascais Dr. José de Almeida,7.0,Doenças do olho e anexos,0.45,30.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,Hospital de Cascais Dr. José de Almeida,9.0,Doenças do aparelho circulatório,7.68,2489.0,19.42,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,Hospital de Cascais Dr. José de Almeida,12.0,Doenças da pele e do tecido subcutâneo,0.52,153.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,Hospital de Cascais Dr. José de Almeida,13.0,Doenças do aparelho osteomuscular e do tecido conjuntivo,3.54,416.0,3.16,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,Hospital de Cascais Dr. José de Almeida,17.0,"Malformações congénitas, deformações e anomalias cromossómicas",0.07,3.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,Hospital de Cascais Dr. José de Almeida,18.0,"Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte",1.75,231.0,2.13,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,Hospital de Cascais Dr. José de Almeida,19.0,"Lesões, envenenamento e algumas outras consequências de causas externas",6.3,1711.0,9.47,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,"Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.",6.0,Doenças do sistema nervoso,2.26,848.0,25.86,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde LVT,"Instituto Português Oncologia  F. Gentil - Lisboa, E.P.E.",17.0,"Malformações congénitas, deformações e anomalias cromossómicas",0.12,29.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de São João, E.P.E.",11.0,Doenças do aparelho digestivo,10.72,6739.0,2.94,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de São João, E.P.E.",17.0,"Malformações congénitas, deformações e anomalias cromossómicas",1.98,1006.0,0.0,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de São João, E.P.E.",19.0,"Lesões, envenenamento e algumas outras consequências de causas externas",9.69,13836.0,4.2,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.",3.0,Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários,0.93,395.0,7.69,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.",5.0,"Transtornos mentais, comportamentais e de neurodesenvolvimento",1.26,3224.0,4.29,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.",9.0,Doenças do aparelho circulatório,14.35,6195.0,7.75,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.",11.0,Doenças do aparelho digestivo,9.9,4189.0,4.35,2020.0,1.0,2020-01,,,,
2020-01-01,Quarto,Região de Saúde do Norte,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E.P.E.",12.0,Doenças da pele e do tecido subcutâneo,0.5,287.0,3.57,2020.0,1.0,2020-01,,,,
