geocod;geodsg;sinal_conv;sinal_conv_desc;ind_string;valor;periodo
16F1007;Castanheira de Pêra;&;Dado provisório;2,6 &;2.6;2023
1811505;Grândola;&;Dado provisório;2,6 &;2.6;2023
1840203;Alvito;&;Dado provisório;2,6 &;2.6;2023
1500814;Tavira;&;Dado provisório;2,7 &;2.7;2023
16F1010;Marinha Grande;&;Dado provisório;2,7 &;2.7;2023
1701511;Sesimbra;&;Dado provisório;2,7 &;2.7;2023
1840212;Ourique;&;Dado provisório;2,7 &;2.7;2023
1870710;Redondo;&;Dado provisório;2,7 &;2.7;2023
1500810;Olhão;&;Dado provisório;2,8 &;2.8;2023
16D0118;Vagos;&;Dado provisório;2,8 &;2.8;2023
16F1016;Porto de Mós;&;Dado provisório;2,8 &;2.8;2023
1701109;Mafra;&;Dado provisório;2,8 &;2.8;2023
1701116;Odivelas;&;Dado provisório;2,8 &;2.8;2023
1851403;Almeirim;&;Dado provisório;2,8 &;2.8;2023
11A0104;Arouca;&;Dado provisório;2,9 &;2.9;2023
11D1704;Mesão Frio;&;Dado provisório;2,9 &;2.9;2023
16H0506;Oleiros;&;Dado provisório;2,9 &;2.9;2023
1701111;Sintra;&;Dado provisório;2,9 &;2.9;2023
1840209;Mértola;&;Dado provisório;2,9 &;2.9;2023
1851405;Benavente;&;Dado provisório;2,9 &;2.9;2023
1851406;Cartaxo;&;Dado provisório;2,9 &;2.9;2023
3003105;Ponta do Sol;&;Dado provisório;2,9 &;2.9;2023
1111608;Valença;&;Dado provisório;3,0 &;3;2023
11A0107;Espinho;&;Dado provisório;3,0 &;3;2023
11D1819;Tabuaço;&;Dado provisório;3,0 &;3;2023
16D0114;Oliveira do Bairro;&;Dado provisório;3,0 &;3;2023
16I1421;Ourém;&;Dado provisório;3,0 &;3;2023
1840201;Aljustrel;&;Dado provisório;3,0 &;3;2023
16B1001;Alcobaça;&;Dado provisório;3,1 &;3.1;2023
16B1102;Arruda dos Vinhos;&;Dado provisório;3,1 &;3.1;2023
1500804;Castro Marim;&;Dado provisório;3,2 &;3.2;2023
1500807;Lagos;&;Dado provisório;3,2 &;3.2;2023
16D0102;Albergaria-a-Velha;&;Dado provisório;3,2 &;3.2;2023
16D0117;Sever do Vouga;&;Dado provisório;3,2 &;3.2;2023
16F1003;Ansião;&;Dado provisório;3,2 &;3.2;2023
16J0903;Celorico da Beira;&;Dado provisório;3,2 &;3.2;2023
16J0905;Fornos de Algodres;&;Dado provisório;3,2 &;3.2;2023
1811501;Alcácer do Sal;&;Dado provisório;3,2 &;3.2;2023
1861203;Avis;&;Dado provisório;3,2 &;3.2;2023
11A0119;Vale de Cambra;&;Dado provisório;3,3 &;3.3;2023
16J0911;Sabugal;&;Dado provisório;3,3 &;3.3;2023
1851409;Coruche;&;Dado provisório;3,3 &;3.3;2023
1870703;Borba;&;Dado provisório;3,3 &;3.3;2023
1870709;Portel;&;Dado provisório;3,3 &;3.3;2023
11D1815;São João da Pesqueira;&;Dado provisório;3,4 &;3.4;2023
1701507;Montijo;&;Dado provisório;3,4 &;3.4;2023
1861206;Crato;&;Dado provisório;3,4 &;3.4;2023
1861213;Ponte de Sor;&;Dado provisório;3,4 &;3.4;2023
1870701;Alandroal;&;Dado provisório;3,4 &;3.4;2023
11C1813;Resende;&;Dado provisório;3,5 &;3.5;2023
11D0914;Vila Nova de Foz Côa;&;Dado provisório;3,5 &;3.5;2023
1500806;Lagoa;&;Dado provisório;3,5 &;3.5;2023
1701510;Seixal;&;Dado provisório;3,5 &;3.5;2023
1840204;Barrancos;&;Dado provisório;3,5 &;3.5;2023
2004602;Madalena;&;Dado provisório;3,5 &;3.5;2023
3003107;Ribeira Brava;&;Dado provisório;3,5 &;3.5;2023
1111605;Paredes de Coura;&;Dado provisório;3,6 &;3.6;2023
1500809;Monchique;&;Dado provisório;3,6 &;3.6;2023
16D0115;Ovar;&;Dado provisório;3,6 &;3.6;2023
16F1002;Alvaiázere;&;Dado provisório;3,6 &;3.6;2023
16F1008;Figueiró dos Vinhos;&;Dado provisório;3,6 &;3.6;2023
16G1810;Oliveira de Frades;&;Dado provisório;3,6 &;3.6;2023
16I1420;Vila Nova da Barquinha;&;Dado provisório;3,6 &;3.6;2023
1861209;Gavião;&;Dado provisório;3,6 &;3.6;2023
1861215;Sousel;&;Dado provisório;3,6 &;3.6;2023
1870711;Reguengos de Monsaraz;&;Dado provisório;3,6 &;3.6;2023
11A0113;Oliveira de Azeméis;&;Dado provisório;3,7 &;3.7;2023
1500812;São Brás de Alportel;&;Dado provisório;3,7 &;3.7;2023
16D0108;Estarreja;&;Dado provisório;3,7 &;3.7;2023
16F1004;Batalha;&;Dado provisório;3,7 &;3.7;2023
1840202;Almodôvar;&;Dado provisório;3,7 &;3.7;2023
11D1820;Tarouca;&;Dado provisório;3,8 &;3.8;2023
16I0509;Sertã;&;Dado provisório;3,8 &;3.8;2023
1840210;Moura;&;Dado provisório;3,8 &;3.8;2023
1870704;Estremoz;&;Dado provisório;3,8 &;3.8;2023
1120310;Terras de Bouro;&;Dado provisório;3,9 &;3.9;2023
11D1812;Penedono;&;Dado provisório;3,9 &;3.9;2023
16B;Oeste;&;Dado provisório;3,9 &;3.9;2023
16D0101;Águeda;&;Dado provisório;3,9 &;3.9;2023
16G1806;Mangualde;&;Dado provisório;3,9 &;3.9;2023
16I1417;Sardoal;&;Dado provisório;3,9 &;3.9;2023
1861204;Campo Maior;&;Dado provisório;3,9 &;3.9;2023
11A1306;Maia;&;Dado provisório;4,0 &;4;2023
11A1318;Trofa;&;Dado provisório;4,0 &;4;2023
11D1818;Sernancelhe;&;Dado provisório;4,0 &;4;2023
16G1802;Carregal do Sal;&;Dado provisório;4,0 &;4;2023
1840208;Ferreira do Alentejo;&;Dado provisório;4,0 &;4;2023
1111602;Caminha;&;Dado provisório;4,1 &;4.1;2023
1190309;Póvoa de Lanhoso;&;Dado provisório;4,1 &;4.1;2023
11C1302;Baião;&;Dado provisório;4,1 &;4.1;2023
11C1303;Felgueiras;&;Dado provisório;4,1 &;4.1;2023
16E0611;Oliveira do Hospital;&;Dado provisório;4,1 &;4.1;2023
16E0617;Vila Nova de Poiares;&;Dado provisório;4,1 &;4.1;2023
1870707;Mora;&;Dado provisório;4,1 &;4.1;2023
2004205;Ribeira Grande;&;Dado provisório;4,1 &;4.1;2023
1111610;Vila Nova de Cerveira;&;Dado provisório;4,2 &;4.2;2023
1120306;Esposende;&;Dado provisório;4,2 &;4.2;2023
11D1711;Santa Marta de Penaguião;&;Dado provisório;4,2 &;4.2;2023
16G1814;Santa Comba Dão;&;Dado provisório;4,2 &;4.2;2023
16J0909;Mêda;&;Dado provisório;4,2 &;4.2;2023
1840214;Vidigueira;&;Dado provisório;4,2 &;4.2;2023
1861212;Nisa;&;Dado provisório;4,2 &;4.2;2023
1111603;Melgaço;&;Dado provisório;4,3 &;4.3;2023
11A1304;Gondomar;&;Dado provisório;4,3 &;4.3;2023
11A1310;Paredes;&;Dado provisório;4,3 &;4.3;2023
16E0601;Arganil;&;Dado provisório;4,3 &;4.3;2023
16G1803;Castro Daire;&;Dado provisório;4,3 &;4.3;2023
16J0906;Gouveia;&;Dado provisório;4,3 &;4.3;2023
2004204;Povoação;&;Dado provisório;4,3 &;4.3;2023
3003101;Calheta;&;Dado provisório;4,3 &;4.3;2023
1111604;Monção;&;Dado provisório;4,4 &;4.4;2023
1190314;Vizela;&;Dado provisório;4,4 &;4.4;2023
11A1315;Valongo;&;Dado provisório;4,4 &;4.4;2023
11A1316;Vila do Conde;&;Dado provisório;4,4 &;4.4;2023
11C0305;Celorico de Basto;&;Dado provisório;4,4 &;4.4;2023
11C1307;Marco de Canaveses;&;Dado provisório;4,4 &;4.4;2023
11C1309;Paços de Ferreira;&;Dado provisório;4,4 &;4.4;2023
11D1807;Moimenta da Beira;&;Dado provisório;4,4 &;4.4;2023
16D0103;Anadia;&;Dado provisório;4,4 &;4.4;2023
16I1410;Entroncamento;&;Dado provisório;4,4 &;4.4;2023
16J0504;Fundão;&;Dado provisório;4,4 &;4.4;2023
1861205;Castelo de Vide;&;Dado provisório;4,4 &;4.4;2023
3003102;Câmara de Lobos;&;Dado provisório;4,4 &;4.4;2023
3003106;Porto Moniz;&;Dado provisório;4,4 &;4.4;2023
11C1305;Lousada;&;Dado provisório;4,5 &;4.5;2023
16F1015;Pombal;&;Dado provisório;4,5 &;4.5;2023
1870706;Montemor-o-Novo;&;Dado provisório;4,5 &;4.5;2023
1870713;Viana do Alentejo;&;Dado provisório;4,5 &;4.5;2023
11D1701;Alijó;&;Dado provisório;4,6 &;4.6;2023
16G1809;Nelas;&;Dado provisório;4,6 &;4.6;2023
1851407;Chamusca;&;Dado provisório;4,6 &;4.6;2023
1851412;Golegã;&;Dado provisório;4,6 &;4.6;2023
16E0606;Góis;&;Dado provisório;4,7 &;4.7;2023
16E0608;Mira;&;Dado provisório;4,7 &;4.7;2023
16F1013;Pedrógão Grande;&;Dado provisório;4,7 &;4.7;2023
1701107;Loures;&;Dado provisório;4,7 &;4.7;2023
2004202;Nordeste;&;Dado provisório;4,7 &;4.7;2023
1111601;Arcos de Valdevez;&;Dado provisório;4,8 &;4.8;2023
16G1811;Penalva do Castelo;&;Dado provisório;4,8 &;4.8;2023
1840213;Serpa;&;Dado provisório;4,8 &;4.8;2023
1120313;Vila Verde;&;Dado provisório;4,9 &;4.9;2023
11A0116;São João da Madeira;&;Dado provisório;4,9 &;4.9;2023
16G1816;São Pedro do Sul;&;Dado provisório;4,9 &;4.9;2023
16H0505;Idanha-a-Nova;&;Dado provisório;4,9 &;4.9;2023
181;Alentejo Litoral;&;Dado provisório;4,9 &;4.9;2023
11D0403;Carrazeda de Ansiães;&;Dado provisório;5,0 &;5;2023
11D0409;Torre de Moncorvo;&;Dado provisório;5,0 &;5;2023
16E1808;Mortágua;&;Dado provisório;5,0 &;5;2023
16J0501;Belmonte;&;Dado provisório;5,0 &;5;2023
1701105;Cascais;&;Dado provisório;5,0 &;5;2023
1840206;Castro Verde;&;Dado provisório;5,0 &;5;2023
1861201;Alter do Chão;&;Dado provisório;5,0 &;5;2023
1861208;Fronteira;&;Dado provisório;5,0 &;5;2023
11E0410;Vila Flor;&;Dado provisório;5,1 &;5.1;2023
16D;Região de Aveiro;&;Dado provisório;5,1 &;5.1;2023
16E0111;Mealhada;&;Dado provisório;5,1 &;5.1;2023
16G1824;Vouzela;&;Dado provisório;5,1 &;5.1;2023
16H0508;Proença-a-Nova;&;Dado provisório;5,1 &;5.1;2023
1870714;Vila Viçosa;&;Dado provisório;5,1 &;5.1;2023
1111606;Ponte da Barca;&;Dado provisório;5,2 &;5.2;2023
1190304;Cabeceiras de Basto;&;Dado provisório;5,2 &;5.2;2023
11B1712;Valpaços;&;Dado provisório;5,2 &;5.2;2023
16E0607;Lousã;&;Dado provisório;5,2 &;5.2;2023
16J0904;Figueira de Castelo Rodrigo;&;Dado provisório;5,2 &;5.2;2023
1701110;Oeiras;&;Dado provisório;5,2 &;5.2;2023
1190312;Vila Nova de Famalicão;&;Dado provisório;5,3 &;5.3;2023
16E0615;Soure;&;Dado provisório;5,3 &;5.3;2023
2004603;São Roque do Pico;&;Dado provisório;5,3 &;5.3;2023
11E0412;Vinhais;&;Dado provisório;5,4 &;5.4;2023
16J0913;Trancoso;&;Dado provisório;5,4 &;5.4;2023
2004302;Vila da Praia da Vitória;&;Dado provisório;5,4 &;5.4;2023
3003108;Santa Cruz;&;Dado provisório;5,4 &;5.4;2023
1111607;Ponte de Lima;&;Dado provisório;5,5 &;5.5;2023
11B1713;Vila Pouca de Aguiar;&;Dado provisório;5,5 &;5.5;2023
11D1710;Sabrosa;&;Dado provisório;5,5 &;5.5;2023
11E0408;Mogadouro;&;Dado provisório;5,5 &;5.5;2023
185;Lezíria do Tejo;&;Dado provisório;5,5 &;5.5;2023
2004101;Vila do Porto;&;Dado provisório;5,5 &;5.5;2023
1190311;Vieira do Minho;&;Dado provisório;5,6 &;5.6;2023
16E0616;Tábua;&;Dado provisório;5,6 &;5.6;2023
2004401;Santa Cruz da Graciosa;&;Dado provisório;5,6 &;5.6;2023
11D1801;Armamar;&;Dado provisório;5,7 &;5.7;2023
16G1822;Vila Nova de Paiva;&;Dado provisório;5,7 &;5.7;2023
1191705;Mondim de Basto;&;Dado provisório;5,8 &;5.8;2023
16G0901;Aguiar da Beira;&;Dado provisório;5,8 &;5.8;2023
1701114;Vila Franca de Xira;&;Dado provisório;5,8 &;5.8;2023
1840207;Cuba;&;Dado provisório;5,8 &;5.8;2023
1120302;Barcelos;&;Dado provisório;5,9 &;5.9;2023
11A0109;Santa Maria da Feira;&;Dado provisório;5,9 &;5.9;2023
11B1706;Montalegre;&;Dado provisório;5,9 &;5.9;2023
11C;Tâmega e Sousa;&;Dado provisório;5,9 &;5.9;2023
11E0401;Alfândega da Fé;&;Dado provisório;5,9 &;5.9;2023
16F;Região de Leiria;&;Dado provisório;5,9 &;5.9;2023
11B1709;Ribeira de Pena;&;Dado provisório;6,0 &;6;2023
15;Algarve;&;Dado provisório;6,0 &;6;2023
150;Algarve;&;Dado provisório;6,0 &;6;2023
1861210;Marvão;&;Dado provisório;6,0 &;6;2023
3003104;Machico;&;Dado provisório;6,0 &;6;2023
11D0404;Freixo de Espada à Cinta;&;Dado provisório;6,1 &;6.1;2023
119;Ave;&;Dado provisório;6,2 &;6.2;2023
1190307;Fafe;&;Dado provisório;6,2 &;6.2;2023
16G1817;Sátão;&;Dado provisório;6,2 &;6.2;2023
16G1821;Tondela;&;Dado provisório;6,2 &;6.2;2023
16I;Médio Tejo;&;Dado provisório;6,2 &;6.2;2023
16J0902;Almeida;&;Dado provisório;6,2 &;6.2;2023
3003109;Santana;&;Dado provisório;6,2 &;6.2;2023
3003110;São Vicente;&;Dado provisório;6,2 &;6.2;2023
16B1113;Torres Vedras;&;Dado provisório;6,3 &;6.3;2023
11E0406;Miranda do Douro;&;Dado provisório;6,4 &;6.4;2023
16E0610;Montemor-o-Velho;&;Dado provisório;6,4 &;6.4;2023
16I1418;Tomar;&;Dado provisório;6,4 &;6.4;2023
11C1301;Amarante;&;Dado provisório;6,5 &;6.5;2023
16J0910;Pinhel;&;Dado provisório;6,6 &;6.6;2023
16B1006;Caldas da Rainha;&;Dado provisório;6,7 &;6.7;2023
16E0609;Miranda do Corvo;&;Dado provisório;6,7 &;6.7;2023
16I0510;Vila de Rei;&;Dado provisório;6,7 &;6.7;2023
16J0908;Manteigas;&;Dado provisório;6,8 &;6.8;2023
2004206;Vila Franca do Campo;&;Dado provisório;6,8 &;6.8;2023
1120301;Amares;&;Dado provisório;6,9 &;6.9;2023
11A1308;Matosinhos;&;Dado provisório;6,9 &;6.9;2023
11A1314;Santo Tirso;&;Dado provisório;6,9 &;6.9;2023
11D1708;Peso da Régua;&;Dado provisório;6,9 &;6.9;2023
18;Alentejo;&;Dado provisório;6,9 &;6.9;2023
112;Cávado;&;Dado provisório;7,1 &;7.1;2023
16I1408;Constância;&;Dado provisório;7,1 &;7.1;2023
16E0605;Figueira da Foz;&;Dado provisório;7,2 &;7.2;2023
16E0614;Penela;&;Dado provisório;7,3 &;7.3;2023
1861211;Monforte;&;Dado provisório;7,3 &;7.3;2023
16E0613;Penacova;&;Dado provisório;7,4 &;7.4;2023
11A1313;Póvoa de Varzim;&;Dado provisório;7,5 &;7.5;2023
11A1317;Vila Nova de Gaia;&;Dado provisório;7,5 &;7.5;2023
16J0912;Seia;&;Dado provisório;7,5 &;7.5;2023
17;Área Metropolitana de Lisboa;&;Dado provisório;7,6 &;7.6;2023
170;Área Metropolitana de Lisboa;&;Dado provisório;7,6 &;7.6;2023
1;Continente;&;Dado provisório;7,7 &;7.7;2023
111;Alto Minho;&;Dado provisório;7,7 &;7.7;2023
1190308;Guimarães;&;Dado provisório;7,7 &;7.7;2023
1701115;Amadora;&;Dado provisório;7,7 &;7.7;2023
1701503;Almada;&;Dado provisório;7,8 &;7.8;2023
184;Baixo Alentejo;&;Dado provisório;7,9 &;7.9;2023
2004601;Lajes do Pico;&;Dado provisório;7,9 &;7.9;2023
PT;Portugal;&;Dado provisório;7,9 &;7.9;2023
11D1707;Murça;&;Dado provisório;8,0 &;8;2023
16;Centro;&;Dado provisório;8,0 &;8;2023
16E0602;Cantanhede;&;Dado provisório;8,0 &;8;2023
1861207;Elvas;&;Dado provisório;8,0 &;8;2023
11;Norte;&;Dado provisório;8,1 &;8.1;2023
187;Alentejo Central;&;Dado provisório;8,2 &;8.2;2023
16G;Viseu Dão Lafões;&;Dado provisório;8,6 &;8.6;2023
1861202;Arronches;&;Dado provisório;8,7 &;8.7;2023
11D1805;Lamego;&;Dado provisório;8,8 &;8.8;2023
16F1009;Leiria;&;Dado provisório;8,8 &;8.8;2023
11A;Área Metropolitana do Porto;&;Dado provisório;8,9 &;8.9;2023
16H;Beira Baixa;&;Dado provisório;8,9 &;8.9;2023
186;Alto Alentejo;&;Dado provisório;8,9 &;8.9;2023
1120303;Braga;&;Dado provisório;9,0 &;9;2023
11E0411;Vimioso;&;Dado provisório;9,1 &;9.1;2023
16E0604;Condeixa-a-Nova;&;Dado provisório;9,1 &;9.1;2023
11E0407;Mirandela;&;Dado provisório;9,3 &;9.3;2023
11B1702;Boticas;&;Dado provisório;9,4 &;9.4;2023
11D;Douro;&;Dado provisório;9,4 &;9.4;2023
1701512;Setúbal;&;Dado provisório;9,4 &;9.4;2023
11B;Alto Tâmega;&;Dado provisório;9,5 &;9.5;2023
16J;Beiras e Serra da Estrela;&;Dado provisório;9,5 &;9.5;2023
16I1401;Abrantes;&;Dado provisório;9,9 &;9.9;2023
2;Região Autónoma dos Açores;&;Dado provisório;10,0 &;10;2023
20;Região Autónoma dos Açores;&;Dado provisório;10,0 &;10;2023
200;Região Autónoma dos Açores;&;Dado provisório;10,0 &;10;2023
2004802;Santa Cruz das Flores;&;Dado provisório;10,0 &;10;2023
1701504;Barreiro;&;Dado provisório;10,1 &;10.1;2023
2004501;Calheta;&;Dado provisório;10,3 &;10.3;2023
3;Região Autónoma da Madeira;&;Dado provisório;10,3 &;10.3;2023
30;Região Autónoma da Madeira;&;Dado provisório;10,3 &;10.3;2023
300;Região Autónoma da Madeira;&;Dado provisório;10,3 &;10.3;2023
1500811;Portimão;&;Dado provisório;10,8 &;10.8;2023
16D0105;Aveiro;&;Dado provisório;10,9 &;10.9;2023
11E;Terras de Trás-os-Montes;&;Dado provisório;11,6 &;11.6;2023
11E0405;Macedo de Cavaleiros;&;Dado provisório;11,7 &;11.7;2023
16H0502;Castelo Branco;&;Dado provisório;11,7 &;11.7;2023
1811509;Santiago do Cacém;&;Dado provisório;11,8 &;11.8;2023
16J0503;Covilhã;&;Dado provisório;12,5 &;12.5;2023
16I1419;Torres Novas;&;Dado provisório;12,6 &;12.6;2023
1111609;Viana do Castelo;&;Dado provisório;12,9 &;12.9;2023
11C1311;Penafiel;&;Dado provisório;13,1 &;13.1;2023
11B1703;Chaves;&;Dado provisório;13,8 &;13.8;2023
2004701;Horta;&;Dado provisório;13,8 &;13.8;2023
16G1823;Viseu;&;Dado provisório;14,3 &;14.3;2023
1851416;Santarém;&;Dado provisório;14,3 &;14.3;2023
2004203;Ponta Delgada;&;Dado provisório;14,3 &;14.3;2023
16E;Região de Coimbra;&;Dado provisório;15,2 &;15.2;2023
1870705;Évora;&;Dado provisório;16,5 &;16.5;2023
1840205;Beja;&;Dado provisório;17,3 &;17.3;2023
3003103;Funchal;&;Dado provisório;18,0 &;18;2023
11E0402;Bragança;&;Dado provisório;18,7 &;18.7;2023
1500805;Faro;&;Dado provisório;19,1 &;19.1;2023
2004301;Angra do Heroísmo;&;Dado provisório;19,1 &;19.1;2023
1701106;Lisboa;&;Dado provisório;19,2 &;19.2;2023
11D1714;Vila Real;&;Dado provisório;19,7 &;19.7;2023
16J0907;Guarda;&;Dado provisório;19,7 &;19.7;2023
1861214;Portalegre;&;Dado provisório;22,5 &;22.5;2023
11A1312;Porto;&;Dado provisório;29,6 &;29.6;2023
16E0603;Coimbra;&;Dado provisório;33,7 &;33.7;2023
